FILE	SCHEME	ST	aroC	dnaN	hemD	hisD	purE	sucA	thrA
SH08-001.fasta	senterica	15	2	7	9	9	5	9	12
SH09-29.fasta	senterica	15	2	7	9	9	5	9	12
SH10-001.fasta	senterica	15	2	7	9	9	5	9	12
SH10-002.fasta	senterica	15	2	7	9	9	5	9	12
SH10-014.fasta	senterica	15	2	7	9	9	5	9	12
SH10-015.fasta	senterica	15	2	7	9	9	5	9	12
SH10-30.fasta	senterica	15	2	7	9	9	5	9	12
SH11-001.fasta	senterica	15	2	7	9	9	5	9	12
SH11-002.fasta	senterica	15	2	7	9	9	5	9	12
SH12-001.fasta	senterica	15	2	7	9	9	5	9	12
SH12-002.fasta	senterica	15	2	7	9	9	5	9	12
SH12-003.fasta	senterica	15	2	7	9	9	5	9	12
SH12-004.fasta	senterica	15	2	7	9	9	5	9	12
SH12-005.fasta	senterica	15	2	7	9	9	5	9	12
SH12-006.fasta	senterica	15	2	7	9	9	5	9	12
SH12-007.fasta	senterica	15	2	7	9	9	5	9	12
SH12-008.fasta	senterica	15	2	7	9	9	5	9	12
SH12-009.fasta	senterica	15	2	7	9	9	5	9	12
SH12-010.fasta	senterica	15	2	7	9	9	5	9	12
SH12-011.fasta	senterica	15	2	7	9	9	5	9	12
SH12-012.fasta	senterica	-	2	7	9	1454?	5	9	12
SH12-013.fasta	senterica	15	2	7	9	9	5	9	12
SH12-014.fasta	senterica	15	2	7	9	9	5	9	12
SH13-001.fasta	senterica	15	2	7	9	9	5	9	12
SH13-002.fasta	senterica	15	2	7	9	9	5	9	12
SH13-003.fasta	senterica	-	2	7	9	~9	5	9	12
SH13-004.fasta	senterica	15	2	7	9	9	5	9	12
SH13-005.fasta	senterica	15	2	7	9	9	5	9	12
SH13-006.fasta	senterica	15	2	7	9	9	5	9	12
SH13-007.fasta	senterica	15	2	7	9	9	5	9	12
SH13-008.fasta	senterica	15	2	7	9	9	5	9	12
SH14-001.fasta	senterica	15	2	7	9	9	5	9	12
SH14-002.fasta	senterica	15	2	7	9	9	5	9	12
SH14-003.fasta	senterica	15	2	7	9	9	5	9	12
SH14-004.fasta	senterica	15	2	7	9	9	5	9	12
SH14-005.fasta	senterica	15	2	7	9	9	5	9	12
SH14-006.fasta	senterica	15	2	7	9	9	5	9	12
SH14-007.fasta	senterica	15	2	7	9	9	5	9	12
SH14-008.fasta	senterica	15	2	7	9	9	5	9	12
SH14-009.fasta	senterica	15	2	7	9	9	5	9	12
SH14-010.fasta	senterica	15	2	7	9	9	5	9	12
SH14-011.fasta	senterica	15	2	7	9	9	5	9	12
SH14-012.fasta	senterica	15	2	7	9	9	5	9	12
SH14-013.fasta	senterica	15	2	7	9	9	5	9	12
SH14-014.fasta	senterica	15	2	7	9	9	5	9	12
SH14-015.fasta	senterica	15	2	7	9	9	5	9	12
SH14-016.fasta	senterica	15	2	7	9	9	5	9	12
SH14-017.fasta	senterica	15	2	7	9	9	5	9	12
SH14-018.fasta	senterica	-	2	7	9	1454?	5	9	12
SH14-019.fasta	senterica	15	2	7	9	9	5	9	12
SH14-020.fasta	senterica	15	2	7	9	9	5	9	12
SH14-021.fasta	senterica	-	2	7	9	1454?	5	9	12
SH14-022.fasta	senterica	15	2	7	9	9	5	9	12
SH14-023.fasta	senterica	15	2	7	9	9	5	9	12
SH14-024.fasta	senterica	15	2	7	9	9	5	9	12
SH14-025.fasta	senterica	15	2	7	9	9	5	9	12
SH14-026.fasta	senterica	15	2	7	9	9	5	9	12
SH14-027.fasta	senterica	15	2	7	9	9	5	9	12
SH14-028.fasta	senterica	15	2	7	9	9	5	9	12

